scaffold,coverage
NODE_480_length_1990_cov_1.861499,2.313179255
NODE_481_length_1988_cov_7.474392,9.428668022
NODE_482_length_1985_cov_2.237306,2.603812218
NODE_483_length_1983_cov_2.917531,3.74028635
NODE_484_length_1979_cov_2.308212,2.889419794
NODE_485_length_1976_cov_3.192087,4.005472183
NODE_486_length_1975_cov_3.162500,4.301847935
NODE_487_length_1975_cov_1.346875,1.773442864
NODE_488_length_1974_cov_2.942678,3.656164408
NODE_489_length_1973_cov_3.081856,4.079506397
NODE_490_length_1971_cov_2.682150,3.566231966
NODE_491_length_1970_cov_2.338381,3.310439587
NODE_492_length_1964_cov_2.177056,2.836088181
NODE_493_length_1963_cov_2.795597,3.466574669
NODE_494_length_1962_cov_2.088621,2.83448267
NODE_495_length_1959_cov_2.678571,3.397515535
NODE_496_length_1959_cov_2.497374,3.117322206
NODE_497_length_1955_cov_2.985789,3.994463682
NODE_498_length_1950_cov_5.001583,6.081944466
NODE_499_length_1948_cov_2.626519,3.55694437
NODE_500_length_1947_cov_2.220930,2.870743513
NODE_501_length_1947_cov_1.998943,2.3849895
NODE_502_length_1942_cov_2.697403,3.654811621
NODE_503_length_1941_cov_3.010074,3.561060667
NODE_504_length_1941_cov_2.947508,3.856245756
NODE_505_length_1940_cov_1.987798,2.706005573
NODE_506_length_1937_cov_2.818810,3.698113203
NODE_507_length_1937_cov_2.443146,3.227113962
NODE_508_length_1937_cov_2.243358,2.979035616
NODE_509_length_1933_cov_2.284878,3.060266256
NODE_510_length_1933_cov_2.194356,2.868955851
NODE_511_length_1933_cov_1.758253,2.280308247
NODE_512_length_1932_cov_3.291422,4.125525951
NODE_513_length_1932_cov_2.827917,3.96633935
NODE_514_length_1931_cov_2.169510,2.690526247
NODE_515_length_1930_cov_2.145067,3.054073095
NODE_516_length_1927_cov_3.001068,3.827828646
NODE_517_length_1926_cov_4.228755,5.3600564
NODE_518_length_1920_cov_3.230027,4.144067764
NODE_519_length_1918_cov_2.135266,2.754943609
NODE_520_length_1918_cov_1.761675,2.108050823
NODE_521_length_1916_cov_2.996239,3.961103201
NODE_522_length_1916_cov_1.860290,2.622347832
NODE_523_length_1913_cov_2.374596,2.975903511
NODE_524_length_1913_cov_1.611410,2.277817249
NODE_525_length_1910_cov_3.237736,4.3984375
NODE_526_length_1907_cov_3.089093,3.959488392
NODE_527_length_1907_cov_2.860151,3.523809433
NODE_528_length_1905_cov_779.238378,985.5003662
NODE_529_length_1899_cov_1.975597,2.783725977
NODE_530_length_1897_cov_3.178610,4.086490154
NODE_531_length_1897_cov_2.300760,2.873481035
NODE_532_length_1897_cov_1.836591,2.545389652
NODE_533_length_1895_cov_3.084239,4.103077888
NODE_534_length_1895_cov_1.783152,2.327129602
NODE_535_length_1894_cov_2.641653,3.655444145
NODE_536_length_1893_cov_2.187160,2.627240181
NODE_537_length_1893_cov_1.548422,1.974910378
NODE_538_length_1892_cov_2.396298,3.210903883
NODE_539_length_1892_cov_1.389222,1.870157838
NODE_540_length_1891_cov_2.881264,3.464465141
NODE_541_length_1891_cov_2.308824,3.079684019
NODE_542_length_1890_cov_1.898093,2.582614899
NODE_543_length_1889_cov_19.715921,24.72074699
NODE_544_length_1889_cov_3.270992,4.458004475
NODE_545_length_1889_cov_2.999455,3.714285612
NODE_546_length_1889_cov_2.762814,3.318018675
NODE_547_length_1879_cov_1.899123,2.461371899
NODE_548_length_1877_cov_2.554885,3.362978935
NODE_549_length_1876_cov_3.431631,4.718523979
NODE_550_length_1876_cov_3.116969,4.026049137
NODE_551_length_1876_cov_2.332235,2.927641153
NODE_552_length_1870_cov_2.867218,3.92223835
NODE_553_length_1867_cov_3.587748,4.678545475
NODE_554_length_1866_cov_2.329100,3.209606886
NODE_555_length_1858_cov_2.260122,3.110380173
NODE_556_length_1855_cov_3.125556,4.189011097
NODE_557_length_1855_cov_2.135556,2.909157515
NODE_558_length_1853_cov_1.684093,2.200293541
